id,board_type,contents,created_at,deleted_at,like_count,title,updated_at,view_count,club_id,file_id,member_id
8,2,"새롭게 가입하신 회원분들을 환영합니다!
활동 전 클럽 규칙을 확인해 주세요.
- 게시글 작성 시 욕설 금지
- 회원 간 상호 존중
- 운동 후 후기 공유 권장",2026-02-12 09:30:00,,6,환영 인사 및 규칙 안내,2026-02-12 09:40:00,35,1,,28
9,2,"안녕하세요! 관리자입니다.
이번 주에 운동 루틴 자료와 다이어트 레시피를 업로드했습니다.
필요하신 분들은 자유롭게 확인해 주세요.",2026-02-12 11:00:00,,4,공지: 자료 업로드 안내,2026-02-12 11:10:00,28,1,,29
6,1,아침 식단으로 오트밀과 계란을 먹었습니다.,2026-02-12 09:00:00,,5,아침 식단 공유,2026-02-12 09:10:00,30,1,,21
7,1,점심은 닭가슴살 샐러드로 해결했습니다.,2026-02-12 12:00:00,,7,점심 식단 기록,2026-02-12 12:10:00,41,1,,22
10,1,아침은 바나나와 프로틴입니다.,2026-02-13 09:00:00,,6,아침 식단,2026-02-13 09:10:00,33,2,,23
11,1,저녁은 현미밥과 생선 위주입니다.,2026-02-13 18:00:00,,8,저녁 식단,2026-02-13 18:10:00,48,2,,24
14,1,식단 조절 시작했습니다.,2026-02-14 09:00:00,,4,식단 관리,2026-02-14 09:10:00,22,3,,27
15,1,점심은 샐러드와 두부입니다.,2026-02-14 12:00:00,,6,점심 식단,2026-02-14 12:10:00,31,3,,28
12,2,"이번 달 회비 납부 기한이 다가왔습니다.
- 회비 납부 기한: 이번 주 금요일
- 납부 방법: 계좌 이체 또는 현장 납부
회비를 납부하지 않은 회원은 활동 참여에 제한이 있을 수 있습니다.",2026-02-13 08:50:00,,5,클럽 회비 및 참여 안내,2026-02-13 09:00:00,29,2,,25
18,1,아침은 고구마와 계란입니다.,2026-02-15 08:30:00,,5,아침 식단,2026-02-15 08:40:00,26,4,,21
19,1,간식으로 견과류 섭취했습니다.,2026-02-15 11:00:00,,3,간식 공유,2026-02-15 11:10:00,19,4,,22
13,2,"새로운 회원 여러분 환영합니다!
다가오는 주말, 특별 이벤트가 진행될 예정입니다.
많은 참여 부탁드립니다.",2026-02-13 10:30:00,,7,공지: 이벤트 안내 / 환영합니다,2026-02-13 10:40:00,37,2,,26
16,2,"다음 주 정기 모임 일정이 변경되었습니다.
변경 내용:
- 장소: 기존 헬스장 → 커뮤니티 센터
- 시간: 오후 3시 → 오후 4시
참석 가능하신 분들은 댓글 남겨 주세요.",2026-02-14 09:15:00,,5,공지: 일정 변경 안내,2026-02-14 09:25:00,27,3,,29
22,1,단백질 쉐이크 섭취했습니다.,2026-02-16 09:00:00,,4,식단 공유,2026-02-16 09:10:00,23,5,,25
23,1,닭가슴살 샐러드 식단입니다.,2026-02-16 12:00:00,,6,점심 식단,2026-02-16 12:10:00,30,5,,26
46,2,이번 달 클럽 활동 규칙을 다시 안내드립니다. 모든 회원분들은 안전하게 운동 부탁드립니다.,2026-02-22 09:00:00,,0,공지: 클럽 규칙 안내,2026-02-22 09:10:00,0,1,,21
47,2,새로운 공지: 신입 회원 환영 인사입니다. 활동에 적극 참여해 주세요.,2026-02-22 11:00:00,,0,환영 인사 / 신입 안내,2026-02-22 11:10:00,0,1,,21
26,1,현미밥과 생선 식단입니다.,2026-02-17 09:00:00,,5,식단 기록,2026-02-17 09:10:00,29,6,,21
27,1,과일 위주 아침 식사입니다.,2026-02-17 10:30:00,,4,아침 식단,2026-02-17 10:40:00,21,6,,22
48,2,이번 주 모임 일정이 변경되었습니다. 댓글로 참석 여부를 알려주세요.,2026-02-22 09:30:00,,0,공지: 모임 일정 변경,2026-02-22 09:40:00,0,2,,23
49,2,새로운 자료가 업로드되었습니다. 필요한 회원분들은 확인 바랍니다.,2026-02-22 12:00:00,,0,공지: 자료 업로드 안내,2026-02-22 12:10:00,0,2,,23
30,1,오트밀과 우유 식단입니다.,2026-02-18 08:30:00,,3,아침 기록,2026-02-18 08:40:00,18,7,,27
31,1,점심 식단 공유합니다.,2026-02-18 12:00:00,,5,점심 공유,2026-02-18 12:10:00,26,7,,28
50,2,이번 달 목표 운동 루틴을 공지합니다. 참여자 모두 열심히 운동해주세요.,2026-02-23 09:00:00,,0,공지: 이번 달 목표 안내,2026-02-23 09:10:00,0,3,,27
51,2,신규 회원 환영 공지입니다. 활동 시 서로 배려하며 즐거운 모임을 만들어주세요.,2026-02-23 11:00:00,,0,환영 인사 / 신규 회원 안내,2026-02-23 11:10:00,0,3,,27
35,1,저녁은 단백질 위주입니다.,2026-02-19 19:00:00,,6,저녁 식단,2026-02-19 19:10:00,32,8,,22
73,1,식단 30일째 달성! 힘들지만 서로 응원하며 화이팅!,2026-02-26 19:00:00,,10,식단 유지 성공!,2026-02-26 19:10:00,16,4,,22
74,1,식단 50일째 달성! 힘들지만 서로 응원하며 계속 해요~,2026-02-28 09:00:00,,13,식단 유지 성공! 화이팅!,2026-02-28 09:10:00,31,5,,25
38,1,식단 관리 중입니다.,2026-02-20 09:00:00,,5,식단 조절,2026-02-20 09:10:00,25,9,,25
39,1,샐러드 점심 식단입니다.,2026-02-20 12:00:00,,4,점심 식단,2026-02-20 12:10:00,22,9,,26
75,1,오늘 운동 후기: 유산소 30분 + 근력 운동 완료!,2026-02-28 18:00:00,,9,오늘 운동 후기,2026-02-28 18:10:00,27,5,,26
76,1,아침은 바나나와 프로틴. 오늘도 힘내요!,2026-02-28 08:30:00,,6,아침 식단,2026-02-28 08:40:00,20,6,,21
77,1,"점심은 샐러드, 저녁은 닭가슴살! 모두 화이팅!",2026-02-28 12:00:00,,10,점심 식단 기록,2026-02-28 12:10:00,23,6,,22
78,1,오늘 운동 루틴 완료! 계속 힘내요 모두~,2026-03-01 09:00:00,,9,운동 후기 공유,2026-03-01 09:10:00,18,7,,27
79,1,식단 20일째 달성! 서로 응원하며 계속 진행해요!,2026-03-01 12:00:00,,8,식단 공유,2026-03-01 12:10:00,15,7,,28
80,1,오늘 아침 식단은 오트밀과 계란. 모두 화이팅!,2026-03-01 08:30:00,,7,아침 식단 기록,2026-03-01 08:40:00,14,8,,21
81,1,"저녁 운동 완료! 유산소 30분, 근력 20분 진행했습니다.",2026-03-01 18:00:00,,10,오늘 운동 후기,2026-03-01 18:10:00,19,8,,22
82,1,아침은 단백질 쉐이크와 과일로 시작했어요. 힘내요!,2026-03-02 08:30:00,,6,아침 식단 기록,2026-03-02 08:40:00,14,9,,21
34,1,계란과 샐러드 아침 식단.,2026-02-19 09:00:00,,4,아침 식단,2026-02-19 09:10:00,24,8,34.0,21
17,2,"운동 루틴과 참고 자료가 새롭게 추가되었습니다.
자유롭게 확인하시고, 필요하신 분들은 다운로드해 주세요.",2026-02-14 11:00:00,,7,안내: 자료 공유 및 공지,2026-02-14 11:10:00,36,3,,30
20,2,"운동 시 반드시 안전 장비를 착용해 주세요.
모든 회원분들의 안전을 위한 안내이니 적극적으로 협조 부탁드립니다.",2026-02-15 08:45:00,,6,공지: 안전 장비 착용 필수,2026-02-15 08:55:00,34,4,,23
21,2,"새로 가입하신 회원분들을 환영합니다!
활동에 참여하며 질문이 있으면 자유롭게 문의하세요.",2026-02-15 10:30:00,,8,환영 인사 / 새로운 회원 안내,2026-02-15 10:40:00,41,4,,24
24,2,"다음 모임 일정이 확정되었습니다.
참석 가능 여부를 댓글로 알려주시길 바랍니다.",2026-02-16 09:20:00,,7,공지: 모임 참여 안내,2026-02-16 09:30:00,38,5,,27
25,2,"게시글 작성 시 반드시 클럽 규칙을 지켜주세요.
회원 간 상호 존중과 예의 있는 활동 부탁드립니다.",2026-02-16 11:00:00,,5,공지: 클럽 규칙 준수 안내,2026-02-16 11:10:00,27,5,,28
28,2,"이번 달 클럽 이벤트 안내입니다.
많은 참여 부탁드리며, 자세한 사항은 공지사항을 참고해 주세요.",2026-02-17 09:10:00,,6,새로운 공지: 이벤트 안내,2026-02-17 09:20:00,33,6,,23
29,2,"운동 루틴과 다이어트 레시피가 새롭게 업데이트 되었습니다.
필요하신 분들은 자유롭게 확인해 주세요.",2026-02-17 11:15:00,,7,공지: 자료 업로드 안내,2026-02-17 11:25:00,35,6,,24
32,2,"새로운 회원분들을 환영합니다!
활동 참여 전 클럽 규칙을 확인해 주시길 바랍니다.",2026-02-18 08:55:00,,6,환영 인사 / 신규 회원 안내,2026-02-18 09:05:00,34,7,,29
33,2,"다음 주 클럽 모임 장소와 시간이 확정되었습니다.
참석 여부를 댓글로 남겨주세요.",2026-02-18 10:40:00,,7,공지: 모임 장소 및 시간 안내,2026-02-18 10:50:00,39,7,,30
36,2,"이번 주 클럽 활동 결과 및 주요 공지사항입니다.
활동에 참고해 주세요.",2026-02-19 09:00:00,,5,주간 클럽 업데이트 안내,2026-02-19 09:10:00,28,8,,23
37,2,"댓글 작성 시 상대방을 존중하는 언어 사용을 부탁드립니다.
모두가 즐겁게 활동할 수 있도록 협조 바랍니다.",2026-02-19 11:20:00,,8,공지: 댓글 작성 시 주의사항,2026-02-19 11:30:00,44,8,,24
40,2,"다가오는 이벤트와 특별 강좌 안내입니다.
참여를 희망하시는 분들은 댓글로 신청해 주세요.",2026-02-20 08:50:00,,7,새로운 공지: 이벤트 및 강좌 안내,2026-02-20 09:00:00,36,9,,27
41,2,"새로운 운동 가이드와 팁이 게시되었습니다.
자세한 내용은 자료실에서 확인 가능합니다.",2026-02-20 10:45:00,,6,공지: 운동 자료 업데이트,2026-02-20 10:55:00,31,9,,28
44,2,"하체 루틴 및 참고 자료가 업데이트되었습니다.
안전하게 진행해 주세요.",2026-02-21 09:15:00,,5,공지: 하체 운동 안내,2026-02-21 09:25:00,28,10,,21
52,2,이번 주 클럽 안전 수칙 안내입니다. 안전장비 착용을 필수로 부탁드립니다.,2026-02-23 09:30:00,,0,공지: 안전 수칙 안내,2026-02-23 09:40:00,0,4,,21
53,2,새로운 이벤트 안내: 참여하시는 분들은 댓글로 신청해 주세요.,2026-02-23 11:00:00,,0,공지: 이벤트 안내,2026-02-23 11:10:00,0,4,,21
54,2,클럽 활동 참여 안내입니다. 참석 가능 여부를 댓글로 남겨 주세요.,2026-02-24 09:00:00,,0,공지: 활동 참여 안내,2026-02-24 09:10:00,0,5,,21
55,2,이번 달 회비 납부 안내입니다. 기한 내 납부 부탁드립니다.,2026-02-24 11:00:00,,0,공지: 회비 안내,2026-02-24 11:10:00,0,5,,21
56,2,이번 주 모임 결과 공지입니다. 참고 부탁드립니다.,2026-02-25 09:00:00,,0,공지: 모임 결과 안내,2026-02-25 09:10:00,0,6,,21
57,2,댓글 작성 시 주의사항 안내입니다. 서로 배려하며 활동 부탁드립니다.,2026-02-25 11:00:00,,0,공지: 댓글 작성 안내,2026-02-25 11:10:00,0,6,,21
58,2,이번 주 클럽 일정 안내입니다. 참여 가능 여부 댓글 부탁드립니다.,2026-02-26 09:00:00,,0,공지: 클럽 일정 안내,2026-02-26 09:10:00,0,7,,27
59,2,신규 회원 환영 공지입니다. 활동 시 서로 배려 바랍니다.,2026-02-26 11:00:00,,0,환영 인사 / 신규 회원 안내,2026-02-26 11:10:00,0,7,,27
60,2,주간 클럽 활동 결과 및 공지 안내입니다. 참고 바랍니다.,2026-02-28 09:00:00,,0,공지: 주간 안내,2026-02-28 09:10:00,0,8,,21
61,2,댓글 작성 시 유의사항 안내입니다. 모두 즐거운 활동 부탁드립니다.,2026-02-28 11:15:00,,0,공지: 댓글 안내,2026-02-28 11:25:00,0,8,,21
62,2,다가오는 이벤트 안내입니다. 참여 희망자는 댓글로 신청 바랍니다.,2026-03-01 09:00:00,,0,공지: 이벤트 안내,2026-03-01 09:10:00,0,9,,21
63,2,새로운 운동 자료가 업로드되었습니다. 자료실에서 확인 가능합니다.,2026-03-01 11:00:00,,0,공지: 자료 안내,2026-03-01 11:10:00,0,9,,21
64,2,하체 운동 루틴 안내입니다. 안전하게 진행 부탁드립니다.,2026-03-02 09:00:00,,0,공지: 하체 운동 안내,2026-03-02 09:10:00,0,10,,21
83,1,"점심은 샐러드, 저녁은 닭가슴살. 모두 화이팅!",2026-03-02 12:00:00,,9,오늘 식단 공유,2026-03-02 12:10:00,17,9,,22
88,2,점심 긴급 공지사항 뭐라고 쓸까요,2026-03-02 12:00:00,,3,포기하는게 빠를 정도죠,2026-03-02 12:10:00,18,10,,30
86,2,와 이게 진짜 공지지 뭐냐,2026-02-25 17:58:26,,9,의미가 잇나요 이거 데이터,2026-02-01 09:10:00,18,7,,27
84,1,아침은 오트밀과 계란. 오늘 운동도 화이팅은 무슨 진짜 집에 가고 싶네 아 데이터,2026-04-02 08:30:00,,85,아침 식단,2026-04-02 08:40:00,150,10,33.0,29
45,1,유산소 무산소 둘 다 싫음 너무 싫음 싫음 시름시름 앓게 됨,2026-06-21 11:05:00,,68,운동 안해요 진짜,2026-02-21 11:15:00,352,10,38.0,22
65,1,유산소 운동 힘들어서 싫네요 진짜 싫어서 너무 싫어서 싫어 싫어어어어어어어어.,2026-04-12 11:00:00,,121,유산소 운동 안해,2026-05-14 11:10:00,88,10,37.0,21
87,2,공지사항 손으로 데이터 넣는 사람 나뿐임,2026-02-25 17:59:00,,3,제 데이터는 글렀습니다,2026-02-02 08:40:00,15,10,,29
89,2,3월 정기 모임 일정 안내드립니다. 장소는 기존과 동일하며 준비물 지참 부탁드립니다.,2026-03-03 09:00:00,,0,공지: 3월 정기 모임 안내,2026-03-03 09:10:00,0,10,,21
90,2,운동 전 스트레칭을 반드시 진행해 주세요. 부상 방지를 위한 필수 사항입니다.,2026-03-03 11:00:00,,0,공지: 스트레칭 필수 안내,2026-03-03 11:05:00,0,10,,22
91,2,이번 주 토요일 특별 트레이닝 세션이 진행됩니다. 참여 희망자는 댓글 남겨주세요.,2026-03-04 09:30:00,,0,공지: 특별 트레이닝 안내,2026-03-04 09:40:00,0,10,,23
92,2,클럽 단체 티셔츠 신청을 받습니다. 사이즈를 댓글로 남겨 주세요.,2026-03-04 14:00:00,,0,공지: 단체 티셔츠 신청,2026-03-04 14:10:00,0,10,,24
93,2,운동 기록 인증 이벤트가 시작됩니다. 우수 참여자에게 소정의 상품이 제공됩니다.,2026-03-05 09:00:00,,0,공지: 운동 인증 이벤트,2026-03-05 09:15:00,0,10,,25
94,2,클럽 규칙을 다시 한번 숙지해 주세요. 서로 존중하는 분위기를 만들어 갑시다.,2026-03-05 13:00:00,,0,공지: 클럽 규칙 재안내,2026-03-05 13:10:00,0,10,,26
95,2,이번 주 모임 장소가 체육관 B홀로 변경되었습니다. 착오 없으시길 바랍니다.,2026-03-06 09:00:00,,0,공지: 모임 장소 변경,2026-03-06 09:05:00,0,10,,27
96,2,신규 회원 오리엔테이션이 진행됩니다. 시간 확인 후 참석 부탁드립니다.,2026-03-06 16:00:00,,0,공지: 신규 회원 OT 안내,2026-03-06 16:10:00,0,10,,28
97,2,3월 회비 납부 기한은 3월 15일까지입니다. 기한 내 납부 부탁드립니다.,2026-03-07 09:00:00,,0,공지: 3월 회비 안내,2026-03-07 09:05:00,0,10,,29
98,2,야외 러닝 모임이 예정되어 있습니다. 날씨에 맞는 복장 준비 부탁드립니다.,2026-03-07 18:00:00,,0,공지: 야외 러닝 일정,2026-03-07 18:10:00,0,10,,30
99,2,부상 방지를 위해 무리한 운동은 삼가해 주세요. 개인 컨디션을 고려해 주세요.,2026-03-08 09:00:00,,0,공지: 안전 운동 권장,2026-03-08 09:10:00,0,10,,21
100,2,클럽 내부 설문조사가 진행 중입니다. 모든 회원분들의 참여 부탁드립니다.,2026-03-08 12:00:00,,0,공지: 설문조사 참여 요청,2026-03-08 12:10:00,0,10,,22
101,2,이번 달 우수 회원 발표는 다음 주 월요일에 공지됩니다.,2026-03-09 09:00:00,,0,공지: 우수 회원 발표 일정,2026-03-09 09:05:00,0,10,,23
102,2,공용 운동 기구 사용 후 반드시 정리 정돈 부탁드립니다.,2026-03-09 15:00:00,,0,공지: 기구 사용 수칙,2026-03-09 15:10:00,0,10,,24
103,2,하체 집중 트레이닝 주간입니다. 루틴은 공지 첨부 자료 참고 바랍니다.,2026-03-10 09:00:00,,0,공지: 하체 집중 주간,2026-03-10 09:10:00,0,10,,25
104,2,출석 체크 이벤트가 시작됩니다. 꾸준한 참여 부탁드립니다.,2026-03-10 13:00:00,,0,공지: 출석 이벤트 안내,2026-03-10 13:05:00,0,10,,26
105,2,개인 사정으로 이번 주 회장은 부재입니다. 문의는 부회장에게 부탁드립니다.,2026-03-11 09:00:00,,0,공지: 운영진 안내,2026-03-11 09:10:00,0,10,,27
106,2,클럽 단합을 위한 소규모 회식이 예정되어 있습니다. 참석 여부 댓글 부탁드립니다.,2026-03-11 18:00:00,,0,공지: 단합 모임 안내,2026-03-11 18:10:00,0,10,,28
107,2,운동 중 촬영된 사진은 자료실에서 확인 가능합니다.,2026-03-12 09:00:00,,0,공지: 활동 사진 업로드,2026-03-12 09:05:00,0,10,,29
108,2,3월 마지막 주 일정은 추후 별도 공지 예정입니다.,2026-03-12 14:00:00,,0,공지: 3월 일정 예고,2026-03-12 14:10:00,0,10,,30
109,2,이번 주 상체 집중 트레이닝이 진행됩니다. 준비 운동 충분히 해 주세요.,2026-03-13 09:00:00,,7,공지: 상체 집중 트레이닝,2026-03-13 09:12:00,43,10,,21
110,2,클럽 단체 사진 촬영이 예정되어 있습니다. 복장 통일 부탁드립니다.,2026-03-13 11:00:00,,12,공지: 단체 사진 촬영 안내,2026-03-13 11:08:00,67,10,,22
111,2,운동 후 정리 정돈 및 소독은 필수입니다. 모두 협조 바랍니다.,2026-03-14 09:10:00,,5,공지: 기구 정리 안내,2026-03-14 09:18:00,29,10,,23
112,2,다음 주 러닝 모임은 한강 코스로 진행됩니다. 시간 엄수 부탁드립니다.,2026-03-14 18:00:00,,15,공지: 러닝 모임 안내,2026-03-14 18:07:00,88,10,,24
113,2,3월 특별 이벤트 참여자 모집 중입니다. 많은 관심 부탁드립니다.,2026-03-15 09:00:00,,9,공지: 3월 이벤트 안내,2026-03-15 09:06:00,54,10,,25
114,2,클럽 내부 건의사항은 댓글 또는 운영진에게 전달 바랍니다.,2026-03-15 13:00:00,,4,공지: 건의사항 접수,2026-03-15 13:05:00,22,10,,26
115,2,하체 루틴 변경 사항이 있습니다. 자료실 참고 부탁드립니다.,2026-03-16 09:00:00,,18,공지: 하체 루틴 변경,2026-03-16 09:10:00,95,10,,27
116,2,이번 달 우수 회원 후보를 추천받습니다.,2026-03-16 11:30:00,,6,공지: 우수 회원 추천,2026-03-16 11:38:00,37,10,,28
42,1,아침 식단 공유합니다. 데이터를 가라로 만들라니까 힘드네요. 정말 누가 좀 만들어 줬으면.. 아니 근데 어케 만들었더니 개판이고 와 정말 몇개만 손으로 수정을 하는데 그러다보면 결국 이모양 이꼴이라 하하하하하하하하ㅏㅎ,2026-03-26 09:00:00,,55,아침 식단이 아니라 아침 먹고 싶다 진짜 배고프다,2026-02-21 09:10:00,0,10,39.0,29
85,1,"점심은 샐러드와 두부, 저녁은 닭가슴살! 힘내요 모두!",2026-05-02 12:00:00,,10,점심 식단 기록,2026-02-26 10:58:02,98,10,35.0,30
117,2,출석률 향상을 위한 소규모 이벤트가 진행됩니다.,2026-03-17 09:00:00,,11,공지: 출석 이벤트,2026-03-17 09:09:00,61,10,,29
118,2,클럽 회비 사용 내역을 투명하게 공개합니다.,2026-03-17 14:00:00,,14,공지: 회비 사용 내역,2026-03-17 14:12:00,72,10,,30
119,2,스트레칭 영상이 새로 업로드되었습니다.,2026-03-18 09:00:00,,8,공지: 스트레칭 영상 안내,2026-03-18 09:04:00,46,10,,21
120,2,다음 주 모임은 우천 시 실내로 변경됩니다.,2026-03-18 16:00:00,,10,공지: 모임 장소 예비 안내,2026-03-18 16:07:00,58,10,,22
121,2,운동 중 개인 이어폰 사용을 권장드립니다.,2026-03-19 09:00:00,,3,공지: 운동 매너 안내,2026-03-19 09:05:00,19,10,,23
122,2,4월 신규 회원 모집이 곧 시작됩니다.,2026-03-19 12:00:00,,17,공지: 신규 회원 모집 예정,2026-03-19 12:11:00,84,10,,24
123,2,체성분 측정 일정이 확정되었습니다.,2026-03-20 09:00:00,,13,공지: 체성분 측정 안내,2026-03-20 09:08:00,69,10,,25
124,2,클럽 내부 규칙 위반 시 경고가 부여됩니다.,2026-03-20 15:00:00,,6,공지: 규칙 위반 안내,2026-03-20 15:06:00,41,10,,26
125,2,이번 달 목표 달성자 명단은 추후 발표됩니다.,2026-03-21 09:00:00,,9,공지: 목표 달성자 발표 예정,2026-03-21 09:09:00,52,10,,27
126,2,운영진 회의 결과를 공유드립니다.,2026-03-21 17:00:00,,12,공지: 운영진 회의 결과,2026-03-21 17:13:00,73,10,,28
127,2,클럽 단합 체육대회가 준비 중입니다.,2026-03-22 09:00:00,,16,공지: 체육대회 준비,2026-03-22 09:10:00,90,10,,29
128,2,안전사고 예방을 위한 교육 영상 시청 부탁드립니다.,2026-03-22 13:00:00,,7,공지: 안전 교육 안내,2026-03-22 13:08:00,48,10,,30
130,1,오늘은 가슴 + 삼두 운동 진행했습니다. 벤치프레스 60kg 5세트 성공!,2026-03-03 18:00:00,,14,상체 운동 기록,2026-03-03 18:15:00,72,10,,22
131,1,점심은 닭가슴살과 현미밥으로 깔끔하게 먹었습니다.,2026-03-04 12:10:00,,6,점심 식단 공유,2026-03-04 12:20:00,29,10,,23
133,1,"아침은 오트밀과 바나나, 프로틴 한 잔으로 시작했습니다.",2026-03-05 08:00:00,,7,아침 식단 기록,2026-03-05 08:10:00,41,10,,25
134,1,오늘은 요가 40분으로 몸을 풀어줬습니다.,2026-03-05 20:00:00,,9,요가 완료,2026-03-05 20:15:00,53,10,,26
135,1,등 운동 진행했습니다. 랫풀다운 자극 제대로 왔네요.,2026-03-06 18:30:00,,12,등 운동 후기,2026-03-06 18:45:00,64,10,,27
137,1,인터벌 러닝 30분 완료! 체력 조금씩 올라오는 느낌입니다.,2026-03-07 07:40:00,,11,인터벌 러닝,2026-03-07 07:55:00,58,10,,29
138,1,어깨 운동 진행했습니다. 밀리터리 프레스 40kg 도전.,2026-03-07 18:10:00,,10,어깨 운동 기록,2026-03-07 18:25:00,49,10,,30
139,1,오늘은 가볍게 스트레칭과 코어 운동 위주로 했습니다.,2026-03-08 09:00:00,,4,코어 운동,2026-03-08 09:12:00,27,10,,21
140,1,점심은 두부 샐러드와 고구마로 해결했습니다.,2026-03-08 12:30:00,,8,점심 식단,2026-03-08 12:40:00,36,10,,22
141,1,하체 + 복근 루틴 완료했습니다. 땀이 멈추질 않네요.,2026-03-09 19:00:00,,16,하체 복근 완료,2026-03-09 19:15:00,83,10,,23
143,1,벤치프레스 기록 갱신했습니다! 70kg 성공!,2026-03-10 18:30:00,,19,기록 갱신 성공,2026-03-10 18:45:00,102,10,,25
144,1,저녁은 단백질 위주 식단으로 마무리했습니다.,2026-03-11 19:00:00,,7,저녁 식단 공유,2026-03-11 19:12:00,40,10,,26
145,1,전신 서킷 트레이닝 40분 완료했습니다.,2026-03-12 18:00:00,,13,전신 운동 완료,2026-03-12 18:18:00,68,10,,27
146,1,오늘은 휴식 겸 가벼운 산책 1시간 다녀왔습니다.,2026-03-13 20:00:00,,5,가벼운 산책,2026-03-13 20:10:00,24,10,,28
147,1,식단 60일째 유지 중입니다. 조금씩 몸이 달라지는 느낌이에요.,2026-03-14 08:00:00,,15,식단 유지 중,2026-03-14 08:10:00,77,10,,29
148,1,오늘 운동 루틴 완료! 다들 끝까지 화이팅입니다.,2026-03-14 21:00:00,,9,오늘 운동 마무리,2026-03-14 21:12:00,55,10,,30
149,1,아침 공복 사이클 30분 완료했습니다. 땀이 엄청 나네요.,2026-03-15 07:10:00,,11,공복 사이클 완료,2026-03-15 07:25:00,63,10,,21
150,1,오늘은 등 + 이두 운동 진행했습니다. 자극 제대로 왔습니다.,2026-03-15 18:20:00,,17,등 이두 운동 기록,2026-03-15 18:35:00,91,10,,22
151,1,점심은 닭가슴살 샐러드와 고구마로 깔끔하게 먹었습니다.,2026-03-16 12:15:00,,8,점심 식단,2026-03-16 12:25:00,44,10,,23
152,1,하체 루틴 진행했습니다. 런지 때문에 다리가 후들거리네요.,2026-03-16 19:10:00,,14,하체 루틴 완료,2026-03-16 19:25:00,76,10,,24
153,1,아침은 바나나와 프로틴으로 가볍게 시작했습니다.,2026-03-17 08:05:00,,6,아침 식단 기록,2026-03-17 08:15:00,33,10,,25
154,1,오늘은 복근 위주 운동했습니다. 플랭크 3분 도전 성공!,2026-03-17 20:00:00,,19,복근 운동 완료,2026-03-17 20:15:00,104,10,,26
155,1,점심 과식해서 저녁은 샐러드로 조절했습니다.,2026-03-18 19:30:00,,9,식단 조절 중,2026-03-18 19:45:00,58,10,,27
156,1,인터벌 트레이닝 25분 완료했습니다. 숨이 턱까지 차네요.,2026-03-19 07:40:00,,12,인터벌 완료,2026-03-19 07:55:00,69,10,,28
157,1,어깨 + 삼두 루틴 진행했습니다. 점점 중량 올리는 중입니다.,2026-03-19 18:10:00,,15,어깨 삼두 운동,2026-03-19 18:25:00,82,10,,29
158,1,아침에 가볍게 스트레칭 20분 했습니다.,2026-03-20 07:30:00,,4,가벼운 스트레칭,2026-03-20 07:40:00,21,10,,30
